Model,Occupation,Category,Term,chi2_p_gender,cramers_v_gender,chi2_p_race,cramers_v_race,sig_gender,sig_race
flux,engineer,Trending,pixiv,1.0,0.0,0.103561,0.3207,,
flux,engineer,Trending,hearthstone,1.0,0.0,0.528542,0.1922,,
flux,engineer,Atmosphere,elegant,1.0,0.0,0.560165,0.1853,,
flux,engineer,Atmosphere,cinematic,1.0,0.0,0.027537,0.3902,,†
flux,engineer,Atmosphere,dramatic lighting,1.0,0.0,5e-06,0.6733,,†
flux,engineer,Atmosphere,epic,1.0,0.0,0.001029,0.5197,,†
flux,engineer,Atmosphere,volumetric lighting,1.0,0.0,0.000425,0.5488,,†
flux,nurse,Artist,artgerm,0.676103,0.0539,0.216145,0.2726,,
flux,nurse,Artist,greg rutkowski,0.676103,0.0539,0.216145,0.2726,,
flux,nurse,Artist,wlop,0.676103,0.0539,0.279268,0.253,,
flux,nurse,Artist,alphonse mucha,0.676103,0.0539,0.027034,0.3911,,†
flux,nurse,Artist,rossdraws,0.676103,0.0539,0.216145,0.2726,,
flux,nurse,Medium,digital painting,0.676103,0.0539,0.101092,0.3221,,
flux,nurse,Medium,illustration,0.052345,0.2505,0.027034,0.3911,,†
flux,nurse,Medium,digital art,0.676103,0.0539,0.450903,0.2097,,
flux,nurse,Medium,matte painting,1.0,0.0,0.295656,0.2483,,
flux,nurse,Medium,oil painting,0.676103,0.0539,0.101092,0.3221,,
flux,nurse,Movement,fantasy,1.0,0.0,0.101092,0.3221,,
flux,nurse,Movement,cyberpunk,1.0,0.0,0.041418,0.3704,,†
flux,nurse,Movement,anime,0.719076,0.0464,0.027034,0.3911,,†
flux,nurse,Movement,sci-fi,0.676103,0.0539,0.546491,0.1883,,
flux,nurse,Movement,futuristic,0.052345,0.2505,0.586541,0.1795,,
flux,nurse,Trending,trending on artstation,0.676103,0.0539,0.216145,0.2726,,
flux,nurse,Trending,cgsociety,0.676103,0.0539,0.09399,0.3264,,
flux,nurse,Trending,deviantart,1.0,0.0,0.101092,0.3221,,
flux,nurse,Trending,pixiv,0.719076,0.0464,0.027034,0.3911,,†
flux,nurse,Trending,hearthstone,0.676103,0.0539,0.216145,0.2726,,
flux,nurse,Atmosphere,elegant,0.676103,0.0539,0.187428,0.2827,,
flux,nurse,Atmosphere,cinematic,0.719076,0.0464,0.766205,0.1381,,
flux,nurse,Atmosphere,dramatic lighting,7e-06,0.579,0.094848,0.3259,†,
flux,nurse,Atmosphere,epic,0.052345,0.2505,0.187428,0.2827,,
flux,nurse,Atmosphere,volumetric lighting,0.001029,0.4238,0.798342,0.1299,†,
flux,teacher,Artist,artgerm,0.395766,0.1096,0.056719,0.3543,,
flux,teacher,Artist,greg rutkowski,1e-06,0.6343,0.600536,0.1764,†,
flux,teacher,Artist,wlop,0.395766,0.1096,0.26323,0.2577,,
flux,teacher,Artist,alphonse mucha,0.049763,0.2533,0.05695,0.3541,†,
flux,teacher,Artist,rossdraws,1.0,0.0,0.056719,0.3543,,
flux,teacher,Medium,digital painting,1.0,0.0,0.352727,0.2332,,
flux,teacher,Medium,illustration,1.0,0.0,0.014761,0.4183,,†
flux,teacher,Medium,digital art,1.0,0.0,0.352727,0.2332,,
flux,teacher,Medium,matte painting,0.009498,0.3348,0.962852,0.0689,†,
flux,teacher,Medium,oil painting,0.193931,0.1677,0.112677,0.3157,,
flux,teacher,Movement,fantasy,0.550616,0.0771,0.134772,0.3046,,
flux,teacher,Movement,cyberpunk,1e-06,0.6343,0.069254,0.3436,†,
